Channel,Sample Rate (Hz)
L1:ASC-CHARD_P_INMON,16
L1:ASC-CHARD_Y_INMON,16
L1:ASC-CSOFT_P_INMON,16
L1:ASC-CSOFT_Y_INMON,16
L1:ASC-DHARD_P_INMON,16
L1:ASC-DHARD_Y_INMON,16
L1:ASC-DSOFT_P_INMON,16
L1:ASC-DSOFT_Y_INMON,16
L1:ASC-INP1_P_INMON,16
L1:ASC-INP1_Y_INMON,16
L1:ASC-MICH_P_INMON,16
L1:ASC-MICH_Y_INMON,16
L1:ASC-PRC1_P_INMON,16
L1:ASC-PRC1_Y_INMON,16
L1:ASC-PRC2_P_INMON,16
L1:ASC-PRC2_Y_INMON,16
L1:ASC-SRC1_P_INMON,16
L1:ASC-SRC1_Y_INMON,16
L1:ASC-SRC2_P_INMON,16
L1:ASC-SRC2_Y_INMON,16
L1:DMT-DQ_VECTOR_GATED,16
L1:ISI-GND_STS_ITMY_Z_BLRMS_30M_100M,16
